6318,-85513984,-80757248
6318,-85328896,-80737024
6319,-85018880,-80735744
6319,-85247232,-80495616
6319,-85404160,-80683008
6319,-85500160,-80635136
6319,-85052672,-80531200
6320,-84981504,-80341760
6320,-85075200,-80467968
6320,-84939520,-80217344
6320,-85275136,-80143872
6320,-84925696,-80243200
6320,-84624896,-80314880
6322,-85097984,-80380672
6322,-84708608,-80324608
6322,-84675328,-79898112
6322,-84675584,-79837952
6322,-84142592,-80116224
6322,-84537344,-79875584
6323,-84469760,-79465216
6323,-84207360,-79591424
6323,-84107776,-79520256
6323,-84248320,-79645696
6323,-84364032,-79596544
6324,-84135936,-79382528
6324,-84122880,-79302400
6324,-83995136,-79275520
6324,-83992320,-79445504
6324,-83842816,-79418624
6325,-83721984,-78978816
6325,-83492864,-79415808
6325,-83929856,-79221760
6325,-83828736,-79124736
6325,-83758592,-79109376
6326,-83500288,-78754304
6326,-83408128,-79061760
6326,-83698432,-78677504
6326,-83397632,-78876928
6326,-83156992,-78776064
6327,-83382272,-78830848
6327,-83237376,-78775552
6327,-83189760,-78616064
6327,-83328256,-78268928
6327,-83215872,-78682368
6328,-82948608,-78265856
6328,-82838528,-78161152
6328,-83053056,-78419200
6328,-82688000,-78556928
6328,-83056128,-78453248
6328,-82825472,-78393088
6329,-82397440,-78229760
6329,-82680320,-78023680
6329,-82466304,-77916672
6329,-82419968,-77885184
6329,-82378240,-77756416
6330,-82520832,-77820160
6330,-82459392,-77756160
6330,-82234368,-77943808
6330,-82432768,-77922816
6330,-82306048,-77564160
6331,-81992448,-77716736
6331,-81848320,-77439744
6331,-81972992,-77374208
6331,-81892864,-77699840
6331,-81980672,-77116672
6332,-81893888,-77511936
6332,-82041088,-77602048
6332,-81602560,-77038848
6332,-81742336,-77328896
6333,-81639424,-77639424
6333,-81648640,-76989952
6333,-80965888,-77180672
6333,-81205504,-76775680
6334,-81628928,-76951808
6334,-81423104,-76870144
6334,-81092864,-76444672
6334,-81076224,-77167872
6334,-81081600,-76880384
6334,-80849408,-76790784
6335,-81188864,-76550144
6335,-80907776,-76671232
6335,-81130752,-76464896
6335,-80856320,-76289024
6335,-80764672,-76382720
6336,-80539136,-76315904
6336,-80899584,-76370432
6336,-80553472,-76313344
6336,-80539648,-76246784
6336,-80384000,-75988224
6337,-80317952,-75930624
6337,-80575488,-75778048
6337,-80585728,-76066560
6337,-80517120,-75704320
6337,-80148480,-75892736
6338,-80140800,-75818752
6338,-80228096,-75792384
6338,-80341248,-75723264
6338,-80041728,-75790080
6338,-80018688,-75619840
6339,-80195072,-75837696
6339,-79574016,-75401984
6339,-79501312,-75739904
6339,-79664384,-75387648
6339,-80034048,-75270912
6339,-79942144,-75146240
6340,-79264000,-74837504
6340,-79378944,-75359744
6340,-79860224,-75485696
6340,-79721216,-75211008
6340,-79554816,-75206400
6341,-79384064,-75139840
6341,-79197440,-74984960
6341,-79296768,-74994944
6341,-79181824,-74935296
6342,-79482624,-74899456
